account,name,link,bio
@laurahorak@mastodon.social,Laura Horak,https://mastodon.social/@laurahorak,"Laura Horak is Professor of Film Studies at Carleton University and director of the Transgender Media Lab and Transgender Media Portal. She investigates the history of transgender and queer film and media in the United States, Canada, and Sweden."
@JT_Thomas@hcommons.social,"Jesse ""JT"" Thomas",https://hcommons.social/@JT_Thomas,Early career scholar and aspiring digital humanitist. Part of the ETCL / DHSI team. Currently studying Library and archival science at UBC.
@brunoamaral@mastodon.social,Bruno Amaral,https://mastodon.social/@brunoamaral,Digital Strategy and Communication Consultant based in Lisbon
@rettinghaus@fedihum.org,Klaus Rettinghaus,https://fedihum.org/@rettinghaus,Musicologist and Research Software Engineer
@mikcil@mastodon.world,Michele Ciletti,https://mastodon.world/@mikcil,"Student and researcher in Digital Humanities @ Unifg, bass player and huge fan of open access, orecchiette, haiku, myths and technology used for social good."
@stefan_hessbrueggen@fedihum.org,Stefan Heßbrüggen,https://fedihum.org/@stefan_hessbrueggen,DH and philosophy.
@pouyllau@mastodon.social,Stéphane Pouyllau,https://mastodon.social/@pouyllau,Research engineer at CNRS
@alwkly@aus.social,Alastair Weakley,https://aus.social/@alwkly,Co-founder at https://interaction.net.au building software and websites for the GLAM sector
@ecukier@glammr.us,Emily Cukier,https://glammr.us/@ecukier,Science librarian interested in the use of text data to discover and understand gaps in representation.
@cesare_blanc@fedihum.org ,Hannah Busch,https://fedihum.org /@cesare_blanc,"Digital Medievalist at the Cologne Center for eHumanities. With a special interest in digital and artificial paleography and codicology, as well as (mass) digitization of medieval manuscripts."
@pbinkley@code4lib.social,Peter Binkley,https://code4lib.social/@pbinkley,"Digital Scholarship Technologies Librarian at UAlberta; keen on IIIF; toe-dipping in LLMs; formerly involved in digitization and such; Ph.D. in Medieval Studies, UToronto, long long ago, with interest in reference tools in medieval universities etc. etc."
@AI4LAM@glammr.us,AI4LAM,https://glammr.us/@AI4LAM,"AI4LAM is an international, participatory community focused on advancing the use of artificial intelligence in, for and by libraries, archives and museums. We welcome researchers, students and GLAM professionals at all stages of their careers or studies."
@adi@glammr.us,Adi Keinan-Schoonbaert,https://glammr.us/@adi,Digital Curator for Asian and African Collections at the British Library @BL_DigiSchol@techhub.social#BritishLibrary #DigitalHumanities #DigitalResearch #DigitalScholarship #Data #GLAM
@digitrip@fedihum.org,DigiTRiP Blog,https://fedihum.org/@digitrip,Digital Teaching and Research in Practice – blog about digitality in historical science
@BerLinguistin@mas.to,Naomi Truan,https://mas.to/@BerLinguistin,Assistant Professor of German Sociolinguistics at Leiden University passionate about Open Science and online interactions
@ACDHCH_OeAW@fedihum.org,Austrian Centre for Digital Humanities and Cultural Heritage,https://fedihum.org/@ACDHCH_OeAW,"Institute of the Austrian Academy of Sciences (ÖAW) in Vienna, Austria."
@arockenberger@fedihum.org,Annika Rockenberger,https://fedihum.org/@arockenberger,Senior Academic Librarian - Digital Research Methods @ Uni Oslo Library | Chair @ DHNB | The Carpentries Trainer + Instructor | #DHNB2023 Co-chair | PI of #SustainableDSE skills hub @ Uni Oslo
@aronambrosiani@glammr.us,Aron Ambrosiani,https://glammr.us/@aronambrosiani,"PhD student in history of technology, previously worked in digital museum roles"
@crecente@games.ngo,Drew Crecente,https://games.ngo/@crecente,"Applying my background in Law + Technology to produce and publish intentionally designed games for teens about serious & complex issues: Consent, Critical Thinking, Media Literacy, Resilience, Teen Dating Violence prevention.Founder: Jennifer Ann's GroupPublisher: Prosocial Public Health Games since 2008Speaker: Abuse / violence prevention through non-violent gamesAlways happy to speak with folks who want to be part of the solution."
